timestamp,outcome,color,batch
2025-04-11 17:43:18,3,red,batch_1
2025-04-11 17:43:21,2,black,batch_1
2025-04-11 17:43:24,4,black,batch_1
2025-04-11 17:43:27,32,red,batch_1
2025-04-11 17:43:30,10,black,batch_1
2025-04-11 17:43:33,24,black,batch_1
2025-04-11 17:43:36,15,black,batch_1
2025-04-11 17:43:39,13,black,batch_1
2025-04-11 17:43:42,11,black,batch_1
2025-04-11 17:43:45,20,black,batch_1
2025-04-11 17:43:48,16,red,batch_1
2025-04-11 17:43:51,34,red,batch_1
2025-04-11 17:43:54,17,black,batch_1
2025-04-11 17:43:57,18,red,batch_1
2025-04-11 17:44:00,15,black,batch_1
2025-04-11 17:44:03,11,black,batch_1
2025-04-11 17:44:06,17,black,batch_1
2025-04-11 17:44:09,25,red,batch_1
2025-04-11 17:44:12,23,red,batch_1
2025-04-11 17:44:15,22,black,batch_1
2025-04-11 17:44:18,18,red,batch_1
2025-04-11 17:44:21,22,black,batch_1
2025-04-11 17:44:24,29,black,batch_1
2025-04-11 17:44:27,2,black,batch_1
2025-04-11 17:44:30,5,red,batch_1
2025-04-11 17:44:33,36,red,batch_1
2025-04-11 17:44:36,6,black,batch_1
2025-04-11 17:44:39,3,red,batch_1
2025-04-11 17:44:42,17,black,batch_1
2025-04-11 17:44:45,24,black,batch_1
2025-04-11 17:44:48,18,red,batch_1
2025-04-11 17:44:51,7,red,batch_1
2025-04-11 17:44:54,10,black,batch_1
2025-04-11 17:44:57,36,red,batch_1
2025-04-11 17:45:00,25,red,batch_1
2025-04-11 17:45:03,8,black,batch_1
2025-04-11 17:45:06,4,black,batch_1
2025-04-11 17:45:09,8,black,batch_1
2025-04-11 17:45:12,26,black,batch_1
2025-04-11 17:45:15,26,black,batch_1
2025-04-11 17:45:18,27,red,batch_1
2025-04-11 17:45:21,16,red,batch_1
2025-04-11 17:45:24,22,black,batch_1
2025-04-11 17:45:27,22,black,batch_1
2025-04-11 17:45:30,24,black,batch_1
2025-04-11 17:45:33,35,black,batch_1
2025-04-11 17:45:36,29,black,batch_1
2025-04-11 17:45:39,4,black,batch_1
2025-04-11 17:45:42,5,red,batch_1
2025-04-11 17:45:45,5,red,batch_1
2025-04-11 17:45:48,3,red,batch_1
2025-04-11 17:45:51,23,red,batch_1
2025-04-11 17:45:54,30,red,batch_1
2025-04-11 17:45:57,28,black,batch_1
2025-04-11 17:46:00,18,red,batch_1
2025-04-11 17:46:03,11,black,batch_1
2025-04-11 17:46:06,8,black,batch_1
2025-04-11 17:46:09,17,black,batch_1
2025-04-11 17:46:12,5,red,batch_1
2025-04-11 17:46:15,16,red,batch_1
2025-04-11 17:46:18,2,black,batch_1
2025-04-11 17:46:21,22,black,batch_1
2025-04-11 17:46:24,24,black,batch_1
2025-04-11 17:46:27,10,black,batch_1
2025-04-11 17:46:30,15,black,batch_1
2025-04-11 17:46:33,0,green,batch_1
2025-04-11 17:46:36,6,black,batch_1
2025-04-11 17:46:39,27,red,batch_1
2025-04-11 17:46:42,35,black,batch_1
2025-04-11 17:46:45,12,red,batch_1
2025-04-11 17:46:48,6,black,batch_1
2025-04-11 17:46:51,5,red,batch_1
2025-04-11 17:46:54,5,red,batch_1
2025-04-11 17:46:57,36,red,batch_1
2025-04-11 17:47:00,7,red,batch_1
2025-04-11 17:47:03,36,red,batch_1
2025-04-11 17:47:06,30,red,batch_1
2025-04-11 17:47:09,30,red,batch_1
2025-04-11 17:47:12,28,black,batch_1
2025-04-11 17:47:15,21,red,batch_1
2025-04-11 17:47:18,30,red,batch_1
2025-04-11 17:47:21,6,black,batch_1
2025-04-11 17:47:24,18,red,batch_1
2025-04-11 17:47:27,27,red,batch_1
2025-04-11 17:47:30,5,red,batch_1
2025-04-11 17:47:33,33,black,batch_1
2025-04-11 17:47:36,11,black,batch_1
2025-04-11 17:47:39,25,red,batch_1
2025-04-11 17:47:42,32,red,batch_1
2025-04-11 17:47:45,21,red,batch_1
2025-04-11 17:47:48,32,red,batch_1
2025-04-11 17:47:51,20,black,batch_1
2025-04-11 17:47:54,28,black,batch_1
2025-04-11 17:47:57,5,red,batch_1
2025-04-11 17:48:00,22,black,batch_1
2025-04-11 17:48:03,15,black,batch_1
2025-04-11 17:48:06,26,black,batch_1
2025-04-11 17:48:09,12,red,batch_1
2025-04-11 17:48:12,15,black,batch_1
2025-04-11 17:48:15,29,black,batch_1
2025-04-11 17:48:18,5,red,batch_1
2025-04-11 17:48:21,16,red,batch_1
2025-04-11 17:48:24,2,black,batch_1
2025-04-11 17:48:27,10,black,batch_1
2025-04-11 17:48:30,0,green,batch_1
2025-04-11 17:48:33,4,black,batch_1
2025-04-11 17:48:36,0,green,batch_1
2025-04-11 17:48:39,17,black,batch_1
2025-04-11 17:48:42,25,red,batch_1
2025-04-11 17:48:45,10,black,batch_1
2025-04-11 17:48:48,15,black,batch_1
2025-04-11 17:48:51,30,red,batch_1
2025-04-11 17:48:54,18,red,batch_1
2025-04-11 17:48:57,2,black,batch_1
2025-04-11 17:49:00,35,black,batch_1
2025-04-11 17:49:03,21,red,batch_1
